sl. No,Invoice #,Invoice Date,Client,Work Type,Date Due,Date Due Client,Client Total,Client Paid Date,Client Paid Amount,,,Client Check #,Write Off Amount,Sent to Client
1076,2344685,31/12/25,401,Grass Re-cut,12/31/2025,1/1/2026,35,20/02/2026,35,0,,102840,,12/31/2025
1077,2345116,31/12/25,401,Grass Re-cut,1/6/2026,1/7/2026,35,20/02/2026,35,0,,102840,,12/31/2025
228,2217252,4/8/2025,401,Initial Grass Cut,8/3/2025,8/4/2025,270,22/09/2025,270,0,,11713274,,8/4/2025
234,2217921,5/8/2025,401,Initial Grass Cut,8/4/2025,8/4/2025,250,22/09/2025,250,0,,11713274,,8/5/2025
249,2219081,7/8/2025,401,Initial Grass Cut,8/6/2025,8/6/2025,420,22/09/2025,420,0,,11713274,,8/7/2025
250,2215768,7/8/2025,401,Securing,8/5/2025,8/5/2025,75,22/09/2025,75,0,,11713274,,8/7/2025
257,2219082,8/8/2025,401,Securing,8/6/2025,8/6/2025,150,22/09/2025,150,0,,11713274,,8/8/2025
262,2223637,11/8/2025,401,Grass Re-cut,8/13/2025,8/13/2025,25,26/09/2025,25,0,,11713441,,8/11/2025
264,2227411,12/8/2025,401,Initial Grass Cut,8/14/2025,8/14/2025,25,26/09/2025,25,0,,11713441,,8/12/2025
265,2225045,12/8/2025,401,Initial Grass Cut,8/13/2025,8/13/2025,25,26/09/2025,25,0,,11713441,,8/12/2025
268,2219716,12/8/2025,401,Initial Grass Cut,8/8/2025,8/8/2025,25,26/09/2025,25,0,,11713441,,8/12/2025
269,2219657,12/8/2025,401,Grass Re-cut,8/12/2025,8/12/2025,60,26/09/2025,60,0,,11713441,,8/12/2025
275,2224250,13/8/25,401,Initial Grass Cut,8/13/2025,8/13/2025,15,26/09/2025,15,0,,11713441,,8/13/2025
292,2234587,18/8/25,401,Initial Grass Cut,8/14/2025,8/14/2025,200,3/10/2025,200,0,,11713861,,8/18/2025
294,2220909,18/8/25,401,Grass Re-cut,8/18/2025,8/18/2025,40,3/10/2025,40,0,,11713861,,8/18/2025
300,2220051,19/8/25,401,Grass Re-cut,8/17/2025,8/17/2025,45,3/10/2025,45,0,,11713861,,8/19/2025
307,2237926,21/8/25,401,Grass Re-cut,8/21/2025,8/21/2025,35,3/10/2025,35,0,,11713861,,8/21/2025
318,2237207,22/8/25,401,Initial Grass Cut,8/20/2025,8/20/2025,350,3/10/2025,350,0,,11713861,,8/22/2025
320,2235946,22/8/25,401,Initial Grass Cut,8/18/2025,8/18/2025,300,3/10/2025,300,0,,11713861,,8/22/2025
362,2237767,29/8/25,401,Grass Re-cut,8/30/2025,8/30/2025,55,10/10/2025,55,0,,11713888,,8/29/2025
363,2237894,29/8/25,401,Grass Re-cut,8/30/2025,8/30/2025,40,10/10/2025,40,0,,11713888,,8/29/2025
366,2241744,2/9/2025,401,Securing,9/2/2025,9/2/2025,35,17/10/2025,35,0,,11714088,,9/2/2025
372,2238829,2/9/2025,401,Grass Re-cut,8/30/2025,8/30/2025,45,17/10/2025,45,0,,11714088,,9/2/2025
375,2235403,2/9/2025,401,Grass Re-cut,8/25/2025,8/25/2025,35,17/10/2025,35,0,,11714088,,9/2/2025
376,2234808,2/9/2025,401,Grass Re-cut,9/1/2025,9/1/2025,60,17/10/2025,60,0,,11714088,,9/2/2025
383,2239807,3/9/2025,401,Grass Re-cut,9/1/2025,9/1/2025,35,17/10/2025,35,0,,11714088,,9/3/2025
386,2242100,4/9/2025,401,Grass Re-cut,9/4/2025,9/5/2025,100,17/10/2025,100,0,,11714088,,9/4/2025
393,2240275,4/9/2025,401,Grass Re-cut,8/27/2025,8/27/2025,45,17/10/2025,45,0,,11714088,,9/4/2025
315,2237495,22/8/25,401,Bid Approval,8/20/2025,8/20/2025,370,3/11/2025,370,0,,11714548,,8/22/2025
399,2251172,8/9/2025,401,Grass Re-cut,9/6/2025,9/8/2025,35,3/11/2025,35,0,,11714548,,9/8/2025
426,2244516,11/9/2025,401,Grass Re-cut,9/10/2025,9/11/2025,35,3/11/2025,35,0,,11714548,,9/11/2025
433,2251032,11/9/2025,401,Grass Re-cut,9/8/2025,9/9/2025,45,3/11/2025,45,0,,11714548,,9/11/2025
437,2242974,11/9/2025,401,Grass Re-cut,9/11/2025,9/11/2025,40,3/11/2025,40,0,,11714548,,9/11/2025
446,2254407,15/9/25,401,Bid Approval,9/22/2025,9/23/2025,100,3/11/2025,100,0,,11714548,,9/15/2025
449,2252390,15/9/25,401,Grass Re-cut,9/13/2025,9/14/2025,35,3/11/2025,35,0,,11714548,,9/15/2025
452,2244264,15/9/25,401,Grass Re-cut,9/11/2025,9/12/2025,60,3/11/2025,60,0,,11714548,,9/15/2025
453,2244162,15/9/25,401,Grass Re-cut,9/13/2025,9/14/2025,45,3/11/2025,45,0,,11714548,,9/15/2025
455,2244008,15/9/25,401,Grass Re-cut,9/12/2025,9/13/2025,35,3/11/2025,35,0,,11714548,,9/15/2025
488,2251152,19/9/25,401,Grass Re-cut,9/15/2025,9/16/2025,35,3/11/2025,35,0,,11714548,,9/19/2025
505,2263521,23/9/25,401,Grass Re-cut,9/19/2025,9/20/2025,45,7/11/2025,45,0,,11714729,,9/23/2025
508,2256251,23/9/25,401,Grass Re-cut,9/19/2025,9/20/2025,45,7/11/2025,45,0,,11714729,,9/23/2025
510,2254256,23/9/25,401,Grass Re-cut,9/23/2025,9/23/2025,40,7/11/2025,40,0,,11714729,,9/23/2025
511,2264625,24/9/25,401,Grass Re-cut,9/24/2025,9/25/2025,35,7/11/2025,35,0,,11714729,,9/24/2025
524,2256416,25/9/25,401,Grass Re-cut,9/25/2025,9/26/2025,45,7/11/2025,45,0,,11714729,,9/25/2025
526,2256051,25/9/25,401,Grass Re-cut,9/25/2025,9/26/2025,35,7/11/2025,35,0,,11714729,,9/25/2025
544,2265688,30/9/25,401,Grass Re-cut,9/26/2025,9/27/2025,45,14/11/2025,45,0,,11714925,,9/30/2025
548,2264457,30/9/25,401,Grass Re-cut,9/29/2025,9/30/2025,45,14/11/2025,45,0,,11714925,,9/30/2025
550,2256331,30/9/25,401,Grass Re-cut,9/30/2025,10/1/2025,45,14/11/2025,45,0,,11714925,,9/30/2025
558,2256240,1/10/2025,401,Grass Re-cut,9/30/2025,10/1/2025,60,14/11/2025,60,0,,11714925,,10/1/2025
568,2266068,2/10/2025,401,Grass Re-cut,10/3/2025,10/4/2025,35,14/11/2025,35,0,,11714925,,10/2/2025
552,2254279,30/9/25,401,Grass Re-cut,9/30/2025,10/1/2025,35,21/11/2025,35,0,,11715118,,9/30/2025
592,2265541,6/10/2025,401,Grass Re-cut,10/4/2025,10/5/2025,40,1/12/2025,40,0,,11715118,,10/6/2025
602,2266639,7/10/2025,401,Grass Re-cut,10/7/2025,10/8/2025,35,21/11/2025,35,0,,11715118,,10/7/2025
610,2266653,8/10/2025,401,Grass Re-cut,10/7/2025,10/8/2025,35,21/11/2025,35,0,,11715118,,10/8/2025
625,2268842,10/10/2025,401,Grass Re-cut,10/10/2025,10/11/2025,35,21/11/2025,35,0,,11715118,,10/10/2025
